Label Value,Code,Description
Afghanistan,276,Barnard Country Code: :276
Albania,327,Barnard Country Code: :327
Algeria,134,Barnard Country Code: :134
Andorra,358,Barnard Country Code: :358
Angola,158,Barnard Country Code: :158
Antigua and Barbuda,753,Barnard Country Code: :753
Argentina,798,Barnard Country Code: :798
Armenia,296,Barnard Country Code: :296
Australia,91,Barnard Country Code: :91
Austria,385,Barnard Country Code: :385
Azerbajan,297,Barnard Country Code: :297
Bahamas,775,Barnard Country Code: :775
Bahrain,283,Barnard Country Code: :283
Bangladesh,2392,Barnard Country Code: :2392
Barbados,755,Barnard Country Code: :755
Belarus,313,Barnard Country Code: :313
Belgium,382,Barnard Country Code: :382
Belize,757,Barnard Country Code: :757
Benin,1431,Barnard Country Code: :1431
Bhutan,2491,Barnard Country Code: :2491
Bolivia,796,Barnard Country Code: :796
Bosnia and Herzegovina,3261,Barnard Country Code: :3261
Botswana,169,Barnard Country Code: :169
Brazil,793,Barnard Country Code: :793
Brunei,2221,Barnard Country Code: :2221
Bulgaria,322,Barnard Country Code: :322
Burkina Faso,1412,Barnard Country Code: :1412
Burundi,1794,Barnard Country Code: :1794
Cambodia,2286,Barnard Country Code: :2286
Cameroon,1515,Barnard Country Code: :1515
Canada,54,Barnard Country Code: :54
Cape Verde,1491,Barnard Country Code: :1491
Central African Republic,1512,Barnard Country Code: :1512
Chad,154,Barnard Country Code: :154
Channel Islands,4092,Barnard Country Code: :4092
Chile,799,Barnard Country Code: :799
China,251,Barnard Country Code: :251
Colombia,791,Barnard Country Code: :791
Comoros,192,Barnard Country Code: :192
Cook Islands,824,Barnard Country Code: :824
Costa Rica,787,Barnard Country Code: :787
Cote d'Ivoire,1433,Barnard Country Code: :1433
Croatia,326,Barnard Country Code: :326
Cuba,72,Barnard Country Code: :72
Cyprus,333,Barnard Country Code: :333
Czech Republic,387,Barnard Country Code: :387
Democratic Republic of the Congo,155,Barnard Country Code: :155
Denmark,396,Barnard Country Code: :396
Djibouti,1791,Barnard Country Code: :1791
Dominica,7542,Barnard Country Code: :7542
Dominican Republic,73,Barnard Country Code: :73
Ecuador,794,Barnard Country Code: :794
Egypt,11,Barnard Country Code: :11
El Salvador,785,Barnard Country Code: :785
Equatorial Guinea,1514,Barnard Country Code: :1514
Eritrea,1796,Barnard Country Code: :1796
Estonia,3917,Barnard Country Code: :3917
Eswatini,168,Barnard Country Code: :168
Ethiopia,18,Barnard Country Code: :18
Fiji,89,Barnard Country Code: :89
Finland,3992,Barnard Country Code: :3992
France,36,Barnard Country Code: :36
French Polynesia,83,Barnard Country Code: :83
Gabon,152,Barnard Country Code: :152
Gambia,146,Barnard Country Code: :146
Georgia,299,Barnard Country Code: :299
Germany,37,Barnard Country Code: :37
Ghana,148,Barnard Country Code: :148
Gibraltar,337,Barnard Country Code: :337
Greece,328,Barnard Country Code: :328
Grenada,7543,Barnard Country Code: :7543
Guam ,2249,Barnard Country Code: :2249
Guatemala,783,Barnard Country Code: :783
Guinea,1414,Barnard Country Code: :1414
Guinea-Bissau,1415,Barnard Country Code: :1415
Guyana,758,Barnard Country Code: :758
Haiti,735,Barnard Country Code: :735
Honduras,784,Barnard Country Code: :784
Hong Kong,255,Barnard Country Code: :255
Hungary,386,Barnard Country Code: :386
Iceland,398,Barnard Country Code: :398
India,23,Barnard Country Code: :23
Indonesia,221,Barnard Country Code: :221
Iran,282,Barnard Country Code: :282
Iraq,294,Barnard Country Code: :294
Ireland,47,Barnard Country Code: :47
Israel,291,Barnard Country Code: :291
Italy,34,Barnard Country Code: :34
Jamaica,744,Barnard Country Code: :744
Japan,26,Barnard Country Code: :26
Jordan,292,Barnard Country Code: :292
Kazakhstan,271,Barnard Country Code: :271
Kenya,1759,Barnard Country Code: :1759
Kiribati,858,Barnard Country Code: :858
Kosovo,3264,Barnard Country Code: :3264
Kuwait,285,Barnard Country Code: :285
Kyrgyzstan,272,Barnard Country Code: :272
Laos,2287,Barnard Country Code: :2287
Latvia,3915,Barnard Country Code: :3915
Lebanon,2932,Barnard Country Code: :2932
Lesotho,1675,Barnard Country Code: :1675
Liberia,1445,Barnard Country Code: :1445
Libya,131,Barnard Country Code: :131
Liechtenstein,3712,Barnard Country Code: :3712
Lithuania,3914,Barnard Country Code: :3914
Luxembourg,3829,Barnard Country Code: :3829
Macao,254,Barnard Country Code: :254
Madagascar,191,Barnard Country Code: :191
Malawi,173,Barnard Country Code: :173
Malaysia,225,Barnard Country Code: :225
Maldives,2391,Barnard Country Code: :2391
Mali,1416,Barnard Country Code: :1416
Malta,335,Barnard Country Code: :335
Marshall Islands,855,Barnard Country Code: :855
Mauritania,1417,Barnard Country Code: :1417
Mauritius,194,Barnard Country Code: :194
Mexico,525,Barnard Country Code: :525
Micronesia,85,Barnard Country Code: :85
Moldova,314,Barnard Country Code: :314
Monaco,3612,Barnard Country Code: :3612
Mongolia,258,Barnard Country Code: :258
Montenegro,325,Barnard Country Code: :325
Morocco,135,Barnard Country Code: :135
Mozambique,174,Barnard Country Code: :174
Myanmar,229,Barnard Country Code: :229
Namibia,161,Barnard Country Code: :161
Nauru,856,Barnard Country Code: :856
Nepal,249,Barnard Country Code: :249
Netherlands,381,Barnard Country Code: :381
New Zealand,99,Barnard Country Code: :99
Nicaragua,786,Barnard Country Code: :786
Niger,1418,Barnard Country Code: :1418
Nigeria,149,Barnard Country Code: :149
Niue,82,Barnard Country Code: :82
North Korea,2671,Barnard Country Code: :2671
North Macedonia,3262,Barnard Country Code: :3262
Northern Mariana Islands,852,Barnard Country Code: :852
Norway,394,Barnard Country Code: :394
Oman,286,Barnard Country Code: :286
Pakistan,24,Barnard Country Code: :24
Palau,85,Barnard Country Code: :85
Palestine,2911,Barnard Country Code: :2911
Panama,788,Barnard Country Code: :788
Papua New Guinea,223,Barnard Country Code: :223
Paraguay,797,Barnard Country Code: :797
Peru,795,Barnard Country Code: :795
Philippines,224,Barnard Country Code: :224
Poland,388,Barnard Country Code: :388
Portugal,359,Barnard Country Code: :359
Puerto Rico,74,Barnard Country Code: :74
Qatar,2841,Barnard Country Code: :2841
Republic of the Congo,153,Barnard Country Code: :153
Romania,321,Barnard Country Code: :321
Russia,31,Barnard Country Code: :31
Rwanda,1793,Barnard Country Code: :1793
Saint Kitts and Nevis,753,Barnard Country Code: :753
Saint Lucia,7545,Barnard Country Code: :7545
Saint Vincent and the Grenadines,7547,Barnard Country Code: :7547
Samoa,84,Barnard Country Code: :84
San Marino,342,Barnard Country Code: :342
Sao Tome and Principe,156,Barnard Country Code: :156
Saudi Arabia,289,Barnard Country Code: :289
Senegal,1419,Barnard Country Code: :1419
Serbia,324,Barnard Country Code: :324
Seychelles,195,Barnard Country Code: :195
Sierra Leone,147,Barnard Country Code: :147
Singapore,226,Barnard Country Code: :226
Slovakia,389,Barnard Country Code: :389
Slovenia,3263,Barnard Country Code: :3263
Solomon Islands,87,Barnard Country Code: :87
Somalia,179,Barnard Country Code: :179
South Africa,162,Barnard Country Code: :162
South Korea,267,Barnard Country Code: :267
South Sudan,1795,Barnard Country Code: :1795
Spain,35,Barnard Country Code: :35
Sri Lanka,239,Barnard Country Code: :239
Sudan,12,Barnard Country Code: :12
Suriname,771,Barnard Country Code: :771
Sweden,393,Barnard Country Code: :393
Switzerland,383,Barnard Country Code: :383
Syria,293,Barnard Country Code: :293
Taiwan,2571,Barnard Country Code: :2571
Tajikistan,275,Barnard Country Code: :275
Tanzania,177,Barnard Country Code: :177
Thailand,227,Barnard Country Code: :227
Timor-Leste,2211,Barnard Country Code: :2211
Togo,1432,Barnard Country Code: :1432
Tonga,826,Barnard Country Code: :826
Trinidad and Tobago,756,Barnard Country Code: :756
Tunisia,133,Barnard Country Code: :133
Turkey,295,Barnard Country Code: :295
Turkmenistan,273,Barnard Country Code: :273
Tuvalu,848,Barnard Country Code: :848
Uganda,176,Barnard Country Code: :176
Ukraine,312,Barnard Country Code: :312
United Arab Emirates,2842,Barnard Country Code: :2842
United Kingdom,41,Barnard Country Code: :41
United States of America,6,Barnard Country Code: :6
