Label Value,Code,Description
Abnormal psychology,UJD-UJXS,Barnard Catalogue: UJD-UJXS
"Administration, management",ZVU,Barnard Catalogue: ZVU
Adolescent health,UXY,Barnard Catalogue: UXY
Ageing ,UY-UYU,Barnard Catalogue: UY-UYU
Agriculture,Y-YW,Barnard Catalogue: Y-YW
Air hygiene,SB-SDC,Barnard Catalogue: SB-SDC
Alcohol,GFD,Barnard Catalogue: GFD
AMR (Antimicrobial resistance),RNPA,Barnard Catalogue: RNPA
Anthropology,ZI-ZS,Barnard Catalogue: ZI-ZS
Antimicrobial agents,RNPA,Barnard Catalogue: RNPA
Applied biochemistry,BEQU,Barnard Catalogue: BEQU
Applied mathematics,BBG,Barnard Catalogue: BBG
Applied statistics (medical),EHA-EHW,Barnard Catalogue: EHA-EHW
Applied statistics (non-medical),BBU,Barnard Catalogue: BBU
Arthropod control,ND-NDY,Barnard Catalogue: ND-NDY
Bacteria,J,Barnard Catalogue: J
Bacteriology,J,Barnard Catalogue: J
Bayesian analysis,BBP,Barnard Catalogue: BBP
Behaviour change,,Barnard Catalogue: 
Biochemistry,BEQ-BET,Barnard Catalogue: BEQ-BET
Bioinformatics,BJZ,Barnard Catalogue: BJZ
Biology,BJ,Barnard Catalogue: BJ
Biomedical research,BJB,Barnard Catalogue: BJB
Breastfeeding,UWZ,Barnard Catalogue: UWZ
Capacity development,ZVM,Barnard Catalogue: ZVM
Cardiovascular system,UH-UHZ,Barnard Catalogue: UH-UHZ
Cell biology,BJY,Barnard Catalogue: BJY
Chemistry,BE,Barnard Catalogue: BE
Chemotherapy,RN,Barnard Catalogue: RN
Child health,UXC-UXU,Barnard Catalogue: UXC-UXU
Child labour,SQR.Y,Barnard Catalogue: SQR.Y
Child protection,UXT,Barnard Catalogue: UXT
Child welfare,SQH-SQN,Barnard Catalogue: SQH-SQN
Climate change,,Barnard Catalogue: 
Climate science,,Barnard Catalogue: 
Climatology,BD-BU,Barnard Catalogue: BD-BU
Clinical drug trials,RJ.AW,Barnard Catalogue: RJ.AW
Clinical guidelines,,Barnard Catalogue: 
Clinical medicine,QB,Barnard Catalogue: QB
Clinical research,Q ,Barnard Catalogue: Q 
Clinical trials,C.AW,Barnard Catalogue: C.AW
Colonialism,ZVY,Barnard Catalogue: ZVY
Complex interventions,SOA,Barnard Catalogue: SOA
Conflict,ZVZ,Barnard Catalogue: ZVZ
Contraception,UTT,Barnard Catalogue: UTT
Criminal violence,TJH,Barnard Catalogue: TJH
Criminology,ZWD,Barnard Catalogue: ZWD
Critical care,QB,Barnard Catalogue: QB
Crop cultivation,YE,Barnard Catalogue: YE
Data management,AHXB,Barnard Catalogue: AHXB
Data science,BBV,Barnard Catalogue: BBV
Decision analysis,BBP,Barnard Catalogue: BBP
Demography,EHD,Barnard Catalogue: EHD
Dental profession,WB,Barnard Catalogue: WB
Dermatology,UR-URY,Barnard Catalogue: UR-URY
Development studies,ZVB,Barnard Catalogue: ZVB
Diagnostics,Q-QU,Barnard Catalogue: Q-QU
Dietetics,BEXL,Barnard Catalogue: BEXL
Digestive system,UP,Barnard Catalogue: UP
Disease burden,EP,Barnard Catalogue: EP
Disease control,SP-SPE,Barnard Catalogue: SP-SPE
DNA,BJT,Barnard Catalogue: BJT
Drug discovery and development,RH-ROH,Barnard Catalogue: RH-ROH
Drug resistance,RK,Barnard Catalogue: RK
"Ecology, environment",BJX,Barnard Catalogue: BJX
Economic evaluation,,Barnard Catalogue: 
Economics (social science),ZVR,Barnard Catalogue: ZVR
"Education, study, teaching",AR,Barnard Catalogue: AR
"Educational psychology, learning",UJCB,Barnard Catalogue: UJCB
Electronic health records,C.AQ,Barnard Catalogue: C.AQ
Emergency care,,Barnard Catalogue: 
Emergency medicine and surgery,VQ-VUF,Barnard Catalogue: VQ-VUF
Endocrine system,UQ,Barnard Catalogue: UQ
Entomology,N-NZ,Barnard Catalogue: N-NZ
Environmental health,SB,Barnard Catalogue: SB
Environmental hygiene,SB,Barnard Catalogue: SB
Epidemiology,E-EZ,Barnard Catalogue: E-EZ
Ethnography,ZR,Barnard Catalogue: ZR
Evaluation,,Barnard Catalogue: 
Eye health,UK-UKZ,Barnard Catalogue: UK-UKZ
Farming,YBU,Barnard Catalogue: YBU
Female sex work,UTZ,Barnard Catalogue: UTZ
Fertility ,UTH,Barnard Catalogue: UTH
Field epidemiology,EB ,Barnard Catalogue: EB 
Food hygiene,SF,Barnard Catalogue: SF
Food production (agriculture),YA,Barnard Catalogue: YA
Food production (chemistry),BEWW,Barnard Catalogue: BEWW
Food substances,BEW,Barnard Catalogue: BEW
Gender  ,,Barnard Catalogue: 
"Gender identity, sexuality",ZVDG,Barnard Catalogue: ZVDG
Gender-based violence,TTR,Barnard Catalogue: TTR
General practice,CBN,Barnard Catalogue: CBN
Genetic epidemiology,BJT.E,Barnard Catalogue: BJT.E
Genetics,BJS-BJZ,Barnard Catalogue: BJS-BJZ
Genomics,BJT ,Barnard Catalogue: BJT 
Geriatrics,UY,Barnard Catalogue: UY
GIS/Spatial analysis,ER,Barnard Catalogue: ER
Global health,SO ,Barnard Catalogue: SO 
Global mental health,UJ,Barnard Catalogue: UJ
Globalisation,ZVJ,Barnard Catalogue: ZVJ
Gynaecology,UV,Barnard Catalogue: UV
Haematology,PY,Barnard Catalogue: PY
Health care financing,CBT,Barnard Catalogue: CBT
Health care policy,SO-SPT,Barnard Catalogue: SO-SPT
Health economics,CBT,Barnard Catalogue: CBT
Health education and promotion,SOH,Barnard Catalogue: SOH
Health impact analysis,SOA,Barnard Catalogue: SOA
Health in humanitarian crises,SQD,Barnard Catalogue: SQD
Health inequalities ,SQ,Barnard Catalogue: SQ
Health outcomes,SOA,Barnard Catalogue: SOA
