Label Value,Code,Description
Addiction,,Barnard Catalogue: 
Adults with disabilities,"SOZ, UEFW","Barnard Catalogue: SOZ, UEFW"
African trypanosomiasis,LO,Barnard Catalogue: LO
Alcohol addiction,GFD,Barnard Catalogue: GFD
Allergy,HO,Barnard Catalogue: HO
Anaemia,PYI,Barnard Catalogue: PYI
Animal trypanosomiasis,LNC-LNU,Barnard Catalogue: LNC-LNU
Anthrax ,JL,Barnard Catalogue: JL
Anxiety disorders,UJL,Barnard Catalogue: UJL
Arthritis,"HN, JGT, UF.PR","Barnard Catalogue: HN, JGT, UF.PR"
Ascariasis,MQ,Barnard Catalogue: MQ
Asthma,HO,Barnard Catalogue: HO
Autism spectrum,UIED,Barnard Catalogue: UIED
Autoimmune disease,HBX,Barnard Catalogue: HBX
Avian influenza,KLP,Barnard Catalogue: KLP
Bartonella,JVB,Barnard Catalogue: JVB
Blindness,UKC,Barnard Catalogue: UKC
Blood disorders,PYF,Barnard Catalogue: PYF
Bluetongue virus,KWB,Barnard Catalogue: KWB
Brucellosis ,JP,Barnard Catalogue: JP
Buruli ulcer,JC,Barnard Catalogue: JC
Cancer,PM,Barnard Catalogue: PM
Cardiovascular disease,UH-UHZ,Barnard Catalogue: UH-UHZ
Cataracts,UKTC,Barnard Catalogue: UKTC
Cerebral palsy,"UEFH, UITD","Barnard Catalogue: UEFH, UITD"
Cestodes,MI,Barnard Catalogue: MI
Chagas disease,LP,Barnard Catalogue: LP
Children with disabilities,"SQJ-SQJC, UXH, UXJ","Barnard Catalogue: SQJ-SQJC, UXH, UXJ"
Chlamydia,JVS,Barnard Catalogue: JVS
Cholera,JK,Barnard Catalogue: JK
Chronic diseases,UYP,Barnard Catalogue: UYP
Cirrhosis,UPW.PR,Barnard Catalogue: UPW.PR
Coronaviruses,KF,Barnard Catalogue: KF
COVID-19,KFD,Barnard Catalogue: KFD
Creutzfeldt-Jakob disease (CJD),UIP.PJ,Barnard Catalogue: UIP.PJ
Cystic fibrosis,UO.PH,Barnard Catalogue: UO.PH
"Dementia, incl. Alzheimer's ",UJW,Barnard Catalogue: UJW
Dengue,KPD,Barnard Catalogue: KPD
Dermatitis,URH,Barnard Catalogue: URH
Diabetes,UQI,Barnard Catalogue: UQI
Diarrhoeal diseases,UPTD,Barnard Catalogue: UPTD
Disability,,Barnard Catalogue: 
Drug addiction,GF,Barnard Catalogue: GF
Dysentery,JT,Barnard Catalogue: JT
E coli ,JRC,Barnard Catalogue: JRC
Eating disorders,UJLA,Barnard Catalogue: UJLA
Ebola virus,KE,Barnard Catalogue: KE
Eczema,URHE,Barnard Catalogue: URHE
Emerging infectious diseases,,Barnard Catalogue: 
Eye health,UK-UKZ ,Barnard Catalogue: UK-UKZ 
Fever,HX,Barnard Catalogue: HX
Glaucoma,UKD,Barnard Catalogue: UKD
Gonorrhoea ,JI,Barnard Catalogue: JI
Hantavirus disease ,KQ,Barnard Catalogue: KQ
Hearing impairment,ULC,Barnard Catalogue: ULC
Heart disease,UHO-UHR,Barnard Catalogue: UHO-UHR
Hepatitis ,"KO, KPH, KS, KSA","Barnard Catalogue: KO, KPH, KS, KSA"
Herpesviruses,KJ-KJZ,Barnard Catalogue: KJ-KJZ
HIV/AIDS,KM,Barnard Catalogue: KM
Hookworm disease,MR,Barnard Catalogue: MR
Hospital acquired infection,SYN,Barnard Catalogue: SYN
Human papillomavirus (HPV),KV,Barnard Catalogue: KV
Hypersensitivity,HK-HT,Barnard Catalogue: HK-HT
Hypertension,UHB,Barnard Catalogue: UHB
Incurable diseases,UYQ,Barnard Catalogue: UYQ
