Label Value,Code,Description
Arab World,1091,ARB
Caribbean small states,1242,CSS
East Asia & Pacific (all income levels),1093,EAS
East Asia & Pacific (developing only),1092,EAP
Euro area,1096,EMU
Europe & Central Asia (all income levels),1095,ECS
Europe & Central Asia (developing only),1094,ECA
European Union,1097,EUU
Latin America & Caribbean (all income levels),1099,LCN
Latin America & Caribbean (developing only),1098,LAC
Least developed countries: UN classification,1100,LDC
Middle East & North Africa (all income levels),1101,MEA
Middle East & North Africa (developing only),1102,MNA
North America,1103,NAC
OECD members,1104,OED
Other small states,1813,OSS
Pacific island small states,1244,PSS
Small states,1814,SST
South Asia,1105,SAS
Sub-Saharan Africa (all income levels),1107,SSF
Sub-Saharan Africa (developing only),1106,SSA
World,1108,WLD
