Label,category,Vocabulary ID,Parent,GrandParent,n
Humans,B,B01.050.150.900.649.313.988.400.112.400.400,Hominidae,Catarrhini,50737
Female,A,A81CF24FDE62658168B073581F98796BEDC98D99,NULL,NULL,26104
Male,2,2867EB5BBDE26F3789F208E36C016A8A2960CF04,NULL,NULL,21508
Adult,M,M01.060.116,Age Groups,Persons,16320
Middle Aged,M,M01.060.116.630,Adult,Age Groups,12208
Adolescent,M,M01.060.057,Age Groups,Persons,10026
Child,M,M01.060.406,Age Groups,Persons,8040
Aged,M,M01.060.116.100,Adult,Age Groups,7849
Animals,B,B01.050,Eukaryota,NULL,6555
"Child, Preschool",M,M01.060.406.448,Child,Age Groups,6316
Infant,M,M01.060.703,Age Groups,Persons,6238
Young Adult,M,M01.060.116.815,Adult,Age Groups,6190
Risk Factors,N,N05.715.350.200.700,Causality,Epidemiologic Factors,5882
Risk Factors,N,N05.715.360.750.625.700.700,Risk,Probability,5882
Risk Factors,N,N06.850.490.625.750,Causality,Epidemiologic Factors,5882
Risk Factors,E,E05.318.740.600.800.725,Risk,Probability,5882
Risk Factors,N,N06.850.520.830.600.800.725,Risk,Probability,5882
HIV Infections,C,C01.221.250.875,Blood-Borne Infections,Communicable Diseases,5549
HIV Infections,C,C01.221.812.640.400,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,5549
HIV Infections,C,C01.778.640.400,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,5549
HIV Infections,C,C01.925.782.815.616.400,Lentivirus Infections,Retroviridae Infections,5549
HIV Infections,C,C01.925.813.400,"Sexually Transmitted Diseases, Viral",Virus Diseases,5549
HIV Infections,C,C20.673.480,Immunologic Deficiency Syndromes,Immune System Diseases,5549
Prevalence,E,E05.318.308.985.525.750,Morbidity,Vital Statistics,4351
Prevalence,N,N06.850.505.400.975.525.750,Morbidity,Vital Statistics,4351
Prevalence,N,N06.850.520.308.985.525.750,Morbidity,Vital Statistics,4351
Prevalence,N,N01.224.935.597.750,Morbidity,Vital Statistics,4351
Cross-Sectional Studies,N,N05.715.360.330.500.875,Epidemiologic Studies,Epidemiologic Study Characteristics,4271
Cross-Sectional Studies,E,E05.318.372.500.875,Epidemiologic Studies,Epidemiologic Study Characteristics,4271
Cross-Sectional Studies,N,N06.850.520.450.500.875,Epidemiologic Studies,Epidemiologic Study Characteristics,4271
Pregnancy,G,G08.686.784.769,Reproduction,Reproductive Physiological Phenomena,4226
"Infant, Newborn",M,M01.060.703.520,Infant,Age Groups,4067
United Kingdom,Z,Z01.542.363,Europe,Geographic Locations,3788
Cohort Studies,N,N06.850.520.450.500.750,Epidemiologic Studies,Epidemiologic Study Characteristics,2994
