Label,category,Vocabulary ID,Parent,GrandParent,GreatGrandParent,GreatGreatGrandParent,GreatGreatGreatGrandParent,n
HIV Infections,C,C01.221.250.875,Blood-Borne Infections,Communicable Diseases,Infections,NULL,NULL,5549
HIV Infections,C,C01.221.812.640.400,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,Communicable Diseases,Infections,NULL,5549
HIV Infections,C,C01.778.640.400,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,Infections,NULL,NULL,5549
HIV Infections,C,C01.925.782.815.616.400,Lentivirus Infections,Retroviridae Infections,RNA Virus Infections,Virus Diseases,Infections,5549
HIV Infections,C,C01.925.813.400,"Sexually Transmitted Diseases, Viral",Virus Diseases,Infections,NULL,NULL,5549
HIV Infections,C,C20.673.480,Immunologic Deficiency Syndromes,Immune System Diseases,NULL,NULL,NULL,5549
Malaria,C,C01.920.875,Vector Borne Diseases,Infections,NULL,NULL,NULL,2572
Malaria,C,C01.610.752.530,Protozoan Infections,Parasitic Diseases,Infections,NULL,NULL,2572
COVID-19,C,C01.748.214,Respiratory Tract Infections,Infections,NULL,NULL,NULL,1750
COVID-19,C,C01.748.610.763.500,"Pneumonia, Viral",Pneumonia,Respiratory Tract Infections,Infections,NULL,1750
COVID-19,C,C01.925.705.500,"Pneumonia, Viral",Virus Diseases,Infections,NULL,NULL,1750
COVID-19,C,C01.925.782.600.550.200.163,Coronavirus Infections,Coronaviridae Infections,Nidovirales Infections,RNA Virus Infections,Virus Diseases,1750
COVID-19,C,C08.381.677.807.500,"Pneumonia, Viral",Pneumonia,Lung Diseases,Respiratory Tract Diseases,NULL,1750
COVID-19,C,C08.730.214,Respiratory Tract Infections,Respiratory Tract Diseases,NULL,NULL,NULL,1750
COVID-19,C,C08.730.610.763.500,"Pneumonia, Viral",Pneumonia,Respiratory Tract Infections,Respiratory Tract Diseases,NULL,1750
"Malaria, Falciparum",C,C01.920.875.650,Malaria,Vector Borne Diseases,Infections,NULL,NULL,1648
"Malaria, Falciparum",C,C01.610.752.530.650,Malaria,Protozoan Infections,Parasitic Diseases,Infections,NULL,1648
Tuberculosis,C,C01.150.252.410.040.552.846,Mycobacterium Infections,Actinomycetales Infections,Gram-Positive Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,1563
Cardiovascular Diseases,C,C14,NULL,NULL,NULL,NULL,NULL,948
Neoplasms,C,C04,NULL,NULL,NULL,NULL,NULL,779
"Tuberculosis, Pulmonary",C,C01.150.252.410.040.552.846.899,Tuberculosis,Mycobacterium Infections,Actinomycetales Infections,Gram-Positive Bacterial Infections,Bacterial Infections,733
"Tuberculosis, Pulmonary",C,C01.748.939,Respiratory Tract Infections,Infections,NULL,NULL,NULL,733
"Tuberculosis, Pulmonary",C,C08.730.939,Respiratory Tract Infections,Respiratory Tract Diseases,NULL,NULL,NULL,733
"Tuberculosis, Pulmonary",C,C08.381.922,Lung Diseases,Respiratory Tract Diseases,NULL,NULL,NULL,733
Obesity,C,C18.654.726.500,Overnutrition,Nutrition Disorders,Nutritional and Metabolic Diseases,NULL,NULL,706
Obesity,C,C23.888.144.699.500,Overweight,Body Weight,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,706
Genetic Predisposition to Disease,C,C23.550.291.687.500,Disease Susceptibility,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,683
Sexually Transmitted Diseases,C,C23.550.291.531.937,Communicable Diseases,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,675
Sexually Transmitted Diseases,C,C13.351.500.711,"Genital Diseases, Female",Female Urogenital Diseases,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,675
Sexually Transmitted Diseases,C,C12.294.668,"Genital Diseases, Male",Male Urogenital Diseases,NULL,NULL,NULL,675
Sexually Transmitted Diseases,C,C01.221.812,Communicable Diseases,Infections,NULL,NULL,NULL,675
Sexually Transmitted Diseases,C,C01.778,Infections,NULL,NULL,NULL,NULL,675
Hypertension,C,C14.907.489,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,NULL,641
"Pregnancy Complications, Infectious",C,C13.703.700,Pregnancy Complications,Female Urogenital Diseases and Pregnancy Complications,NULL,NULL,NULL,602
"Pregnancy Complications, Infectious",C,C01.674,Infections,NULL,NULL,NULL,NULL,602
Breast Neoplasms,C,C04.588.180,Neoplasms by Site,Neoplasms,NULL,NULL,NULL,558
Breast Neoplasms,C,C17.800.090.500,Breast Diseases,Skin Diseases,Skin and Connective Tissue Diseases,NULL,NULL,558
Chronic Disease,C,C23.550.291.500,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,533
"Diabetes Mellitus, Type 2",C,C18.452.394.750.149,Diabetes Mellitus,Glucose Metabolism Disorders,Metabolic Diseases,Nutritional and Metabolic Diseases,NULL,531
"Diabetes Mellitus, Type 2",C,C19.246.300,Diabetes Mellitus,Endocrine System Diseases,NULL,NULL,NULL,531
Disease Progression,C,C23.550.291.656,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,521
"Influenza, Human",C,C08.730.310,Respiratory Tract Infections,Respiratory Tract Diseases,NULL,NULL,NULL,507
"Influenza, Human",C,C01.748.310,Respiratory Tract Infections,Infections,NULL,NULL,NULL,507
"Influenza, Human",C,C01.925.782.620.365,Orthomyxoviridae Infections,RNA Virus Infections,Virus Diseases,Infections,NULL,507
Acquired Immunodeficiency Syndrome,C,C01.925.813.400.040,HIV Infections,"Sexually Transmitted Diseases, Viral",Virus Diseases,Infections,NULL,485
Acquired Immunodeficiency Syndrome,C,C01.925.782.815.616.400.040,HIV Infections,Lentivirus Infections,Retroviridae Infections,RNA Virus Infections,Virus Diseases,485
Acquired Immunodeficiency Syndrome,C,C01.925.839.040,Slow Virus Diseases,Virus Diseases,Infections,NULL,NULL,485
Acquired Immunodeficiency Syndrome,C,C01.778.640.400.040,HIV Infections,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,Infections,NULL,485
Acquired Immunodeficiency Syndrome,C,C01.221.250.875.040,HIV Infections,Blood-Borne Infections,Communicable Diseases,Infections,NULL,485
Acquired Immunodeficiency Syndrome,C,C01.221.812.640.400.040,HIV Infections,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,Communicable Diseases,Infections,485
Acquired Immunodeficiency Syndrome,C,C20.673.480.040,HIV Infections,Immunologic Deficiency Syndromes,Immune System Diseases,NULL,NULL,485
Asthma,C,C20.543.480.680.095,Respiratory Hypersensitivity,"Hypersensitivity, Immediate",Hypersensitivity,Immune System Diseases,NULL,473
Asthma,C,C08.674.095,Respiratory Hypersensitivity,Respiratory Tract Diseases,NULL,NULL,NULL,473
Asthma,C,C08.127.108,Bronchial Diseases,Respiratory Tract Diseases,NULL,NULL,NULL,473
Asthma,C,C08.381.495.108,"Lung Diseases, Obstructive",Lung Diseases,Respiratory Tract Diseases,NULL,NULL,473
Myocardial Infarction,C,C14.907.585.500,Myocardial Ischemia,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,455
Myocardial Infarction,C,C14.280.647.500,Myocardial Ischemia,Heart Diseases,Cardiovascular Diseases,NULL,NULL,455
Myocardial Infarction,C,C23.550.513.355.750,Infarction,Ischemia,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,455
Myocardial Infarction,C,C23.550.717.489.750,Infarction,Necrosis,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,455
HIV Seropositivity,C,C20.673.480.500,HIV Infections,Immunologic Deficiency Syndromes,Immune System Diseases,NULL,NULL,445
HIV Seropositivity,C,C01.221.812.640.400.500,HIV Infections,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,Communicable Diseases,Infections,445
HIV Seropositivity,C,C01.221.250.875.500,HIV Infections,Blood-Borne Infections,Communicable Diseases,Infections,NULL,445
HIV Seropositivity,C,C01.778.640.400.500,HIV Infections,"Sexually Transmitted Diseases, Viral",Sexually Transmitted Diseases,Infections,NULL,445
HIV Seropositivity,C,C01.925.782.815.616.400.500,HIV Infections,Lentivirus Infections,Retroviridae Infections,RNA Virus Infections,Virus Diseases,445
HIV Seropositivity,C,C01.925.813.400.500,HIV Infections,"Sexually Transmitted Diseases, Viral",Virus Diseases,Infections,NULL,445
Diarrhea,C,C23.888.821.214,"Signs and Symptoms, Digestive",Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,443
Stroke,C,C10.228.140.300.775,Cerebrovascular Disorders,Brain Diseases,Central Nervous System Diseases,Nervous System Diseases,NULL,439
Stroke,C,C14.907.253.855,Cerebrovascular Disorders,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,439
Communicable Diseases,C,C23.550.291.531,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,434
Communicable Diseases,C,C01.221,Infections,NULL,NULL,NULL,NULL,434
Trachoma,C,C01.375.354.220.800,"Conjunctivitis, Bacterial","Eye Infections, Bacterial",Eye Infections,Infections,NULL,432
Trachoma,C,C01.150.252.289.225.800,"Conjunctivitis, Bacterial","Eye Infections, Bacterial",Bacterial Infections,Bacterial Infections and Mycoses,Infections,432
Trachoma,C,C01.150.252.400.210.125.745,Chlamydia Infections,Chlamydiaceae Infections,Gram-Negative Bacterial Infections,Bacterial Infections,Bacterial Infections and Mycoses,432
Trachoma,C,C11.294.354.220.800,"Conjunctivitis, Bacterial","Eye Infections, Bacterial",Eye Infections,Eye Diseases,NULL,432
Trachoma,C,C11.187.183.220.889,"Conjunctivitis, Bacterial",Conjunctivitis,Conjunctival Diseases,Eye Diseases,NULL,432
Trachoma,C,C11.204.813,Corneal Diseases,Eye Diseases,NULL,NULL,NULL,432
Diabetes Mellitus,C,C18.452.394.750,Glucose Metabolism Disorders,Metabolic Diseases,Nutritional and Metabolic Diseases,NULL,NULL,401
Diabetes Mellitus,C,C19.246,Endocrine System Diseases,NULL,NULL,NULL,NULL,401
"Tuberculosis, Multidrug-Resistant",C,C01.150.252.410.040.552.846.775,Tuberculosis,Mycobacterium Infections,Actinomycetales Infections,Gram-Positive Bacterial Infections,Bacterial Infections,396
Dengue,C,C01.920.500.270,Arbovirus Infections,Vector Borne Diseases,Infections,NULL,NULL,378
Dengue,C,C01.925.081.270,Arbovirus Infections,Virus Diseases,Infections,NULL,NULL,378
Dengue,C,C01.925.782.350.250.214,Flavivirus Infections,Flaviviridae Infections,RNA Virus Infections,Virus Diseases,Infections,378
Dengue,C,C01.925.782.417.214,"Hemorrhagic Fevers, Viral",RNA Virus Infections,Virus Diseases,Infections,NULL,378
Anemia,C,C15.378.071,Hematologic Diseases,Hemic and Lymphatic Diseases,NULL,NULL,NULL,377
Birth Weight,C,C23.888.144.186,Body Weight,Signs and Symptoms,"Pathological Conditions, Signs and Symptoms",NULL,NULL,371
Recurrence,C,C23.550.291.937,Disease Attributes,Pathologic Processes,"Pathological Conditions, Signs and Symptoms",NULL,NULL,358
AIDS-Related Opportunistic Infections,C,C20.673.480.100,HIV Infections,Immunologic Deficiency Syndromes,Immune System Diseases,NULL,NULL,352
AIDS-Related Opportunistic Infections,C,C01.925.597.050,Opportunistic Infections,Virus Diseases,Infections,NULL,NULL,352
AIDS-Related Opportunistic Infections,C,C01.925.782.815.616.400.100,HIV Infections,Lentivirus Infections,Retroviridae Infections,RNA Virus Infections,Virus Diseases,352
AIDS-Related Opportunistic Infections,C,C01.221.250.875.100,HIV Infections,Blood-Borne Infections,Communicable Diseases,Infections,NULL,352
AIDS-Related Opportunistic Infections,C,C01.597.050,Opportunistic Infections,Infections,NULL,NULL,NULL,352
AIDS-Related Opportunistic Infections,C,C01.610.684.050,Opportunistic Infections,Parasitic Diseases,Infections,NULL,NULL,352
Coronavirus Infections,C,C01.925.782.600.550.200,Coronaviridae Infections,Nidovirales Infections,RNA Virus Infections,Virus Diseases,Infections,351
"Hemorrhagic Fever, Ebola",C,C01.925.782.417.415,"Hemorrhagic Fevers, Viral",RNA Virus Infections,Virus Diseases,Infections,NULL,350
"Hemorrhagic Fever, Ebola",C,C01.925.782.580.250.400,Filoviridae Infections,Mononegavirales Infections,RNA Virus Infections,Virus Diseases,Infections,350
"Pneumonia, Viral",C,C01.925.705,Virus Diseases,Infections,NULL,NULL,NULL,348
"Pneumonia, Viral",C,C01.748.610.763,Pneumonia,Respiratory Tract Infections,Infections,NULL,NULL,348
"Pneumonia, Viral",C,C08.381.677.807,Pneumonia,Lung Diseases,Respiratory Tract Diseases,NULL,NULL,348
"Pneumonia, Viral",C,C08.730.610.763,Pneumonia,Respiratory Tract Infections,Respiratory Tract Diseases,NULL,NULL,348
Coronary Disease,C,C14.907.585.250,Myocardial Ischemia,Vascular Diseases,Cardiovascular Diseases,NULL,NULL,346
